cellID,mouse
7wImac90,1
7wImac3,1
7wImac89,1
7wImac2,1
7wImac88,1
7wImac1,1
7wImac87,1
7wImac6,1
7wImac86,1
7wImac5,1
7wImac85,1
7wImac4,1
7wImac78,1
7wImac15,1
7wImac77,1
7wImac14,1
7wImac76,1
7wImac13,1
7wImac75,1
7wImac18,1
7wImac74,1
7wImac17,1
7wImac73,1
7wImac16,1
7wImac66,1
7wImac27,1
7wImac65,1
7wImac26,1
7wImac64,1
7wImac25,1
7wImac63,1
7wImac30,1
7wImac62,1
7wImac29,1
7wImac61,1
7wImac28,1
7wImac54,1
7wImac39,1
7wImac53,1
7wImac38,1
7wImac52,1
7wImac37,1
7wImac51,1
7wImac42,1
7wImac50,1
7wImac41,1
7wImac49,1
7wImac40,1
7wImac9,1
7wImac95,1
7wImac8,1
7wImac94,1
7wImac7,1
7wImac93,1
7wImac92,1
7wImac11,1
7wImac91,1
7wImac10,1
7wImac21,1
7wImac83,1
7wImac20,1
7wImac82,1
7wImac19,1
7wImac81,1
7wImac80,1
7wImac23,1
7wImac79,1
7wImac22,1
7wImac33,1
7wImac71,1
7wImac32,1
7wImac70,1
7wImac31,1
7wImac69,1
7wImac68,1
7wImac35,1
7wImac67,1
7wImac34,1
7wImac45,1
7wImac59,1
7wImac44,1
7wImac58,1
7wImac43,1
7wImac57,1
7wImac56,1
7wImac47,1
7wImac55,1
7wImac46,1
7wM5mac30,5
7wM4mac2,4
7wM5mac29,5
7wM4mac1,4
7wM4mac30,4
7wM4mac29,4
7wM5mac2,5
7wM4mac28,4
7wM5mac1,5
7wM4mac3,4
7wM5mac26,5
7wM4mac6,4
7wM5mac25,5
7wM4mac5,4
7wM4mac27,4
7wM4mac4,4
7wM4mac26,4
7wM5mac6,5
7wM4mac25,4
7wM5mac5,5
7wM4mac24,4
7wM4mac7,4
7wM5mac22,5
7wM4mac10,4
7wM5mac21,5
7wM4mac9,4
7wM4mac23,4
7wM4mac8,4
7wM4mac22,4
7wM5mac10,5
7wM4mac21,4
7wM5mac9,5
7wM4mac20,4
7wM4mac11,4
7wM5mac18,5
7wM4mac14,4
7wM5mac17,5
7wM4mac13,4
7wM4mac19,4
7wM4mac12,4
7wM4mac18,4
7wM5mac14,5
7wM4mac17,4
7wM5mac13,5
7wM4mac16,4
7wM4mac15,4
7wM6mac1,6
7wM6mac30,6
7wM5mac4,5
7wM6mac29,6
7wM5mac3,5
7wM6mac28,6
7wM5mac32,5
7wM6mac3,6
7wM5mac31,5
7wM6mac2,6
7wM6mac27,6
7wM6mac4,6
7wM6mac26,6
7wM5mac8,5
7wM6mac25,6
7wM5mac7,5
7wM6mac24,6
7wM6mac7,6
7wM5mac28,5
7wM6mac6,6
7wM5mac27,5
7wM6mac5,6
7wM6mac23,6
7wM6mac8,6
7wM6mac22,6
7wM5mac12,5
7wM6mac21,6
7wM5mac11,5
7wM6mac20,6
7wM6mac11,6
7wM5mac24,5
7wM6mac10,6
7wM5mac23,5
7wM6mac9,6
7wM6mac19,6
7wM6mac12,6
7wM6mac18,6
7wM5mac16,5
7wM6mac17,6
7wM5mac15,5
7wM6mac16,6
7wM6mac15,6
7wM5mac20,5
7wM6mac14,6
7wM5mac19,5
7wM6mac13,6
7wM8mac29,8
7wM7mac2,7
7wM8mac28,8
7wM7mac1,7
7wM7mac31,7
7wM7mac30,7
7wM7mac29,7
7wM8mac1,8
7wM7mac28,7
7wM7mac3,7
7wM8mac25,8
7wM7mac6,7
7wM8mac24,8
7wM7mac5,7
7wM7mac27,7
7wM7mac4,7
7wM7mac26,7
7wM8mac5,8
7wM7mac25,7
7wM8mac4,8
7wM7mac24,7
7wM7mac7,7
7wM8mac21,8
7wM7mac10,7
7wM8mac20,8
7wM7mac9,7
7wM7mac23,7
7wM7mac8,7
7wM7mac22,7
7wM8mac9,8
7wM7mac21,7
7wM8mac8,8
7wM7mac20,7
7wM7mac11,7
7wM8mac17,8
7wM7mac14,7
7wM8mac16,8
7wM7mac13,7
7wM7mac19,7
7wM7mac12,7
7wM7mac18,7
7wM8mac13,8
7wM7mac17,7
7wM8mac12,8
7wM7mac16,7
7wM7mac15,7
7wM9mac1,9
7wM9mac30,9
7wM8mac3,8
7wM9mac29,9
7wM8mac2,8
7wM9mac28,9
7wM8mac31,8
7wM9mac3,9
7wM8mac30,8
7wM9mac2,9
7wM9mac27,9
7wM9mac4,9
7wM9mac26,9
7wM8mac7,8
7wM9mac25,9
7wM8mac6,8
7wM9mac24,9
7wM9mac7,9
7wM8mac27,8
7wM9mac6,9
7wM8mac26,8
7wM9mac5,9
7wM9mac23,9
7wM9mac8,9
7wM9mac22,9
7wM8mac11,8
7wM9mac21,9
7wM8mac10,8
7wM9mac20,9
7wM9mac11,9
7wM8mac23,8
7wM9mac10,9
7wM8mac22,8
7wM9mac9,9
7wM9mac19,9
7wM9mac12,9
7wM9mac18,9
7wM8mac15,8
7wM9mac17,9
7wM8mac14,8
7wM9mac16,9
7wM9mac15,9
7wM8mac19,8
7wM9mac14,9
7wM8mac18,8
7wM9mac13,9
